countyFIPS,unemp,#ICU_beds,#Hospitals,#EligibleforMedicare2018
34031,5.1,97,2,87533.0
35001,4.5,138,5,131781.0
35006,6.4,4,2,5044.0
30051,2.9,0,1,473.0
30059,3.8,0,1,622.0
30069,4.9,0,0,110.0
30093,4.5,11,1,8336.0
30099,4.2,0,1,1613.0
30107,4.8,0,1,586.0
31003,2.8,0,1,1603.0
31009,4.5,0,0,140.0
31023,2.9,0,1,1947.0
31035,3.1,0,0,1553.0
31037,2.4,0,1,1555.0
31047,3.1,0,3,4448.0
31053,2.9,0,1,8492.0
31063,3.6,0,0,666.0
31073,2.1,0,0,602.0
31085,3.0,0,0,226.0
31093,3.0,0,1,1464.0
31097,3.6,0,1,930.0
31117,3.2,0,0,99.0
28079,5.5,0,1,4651.0
28083,7.3,9,1,6384.0
28095,5.1,9,2,8996.0
28099,5.8,0,3,6052.0
28103,7.0,0,1,2597.0
28115,4.1,0,1,6519.0
28117,4.9,11,1,5777.0
28127,5.2,0,2,6135.0
28139,4.6,0,1,5519.0
28151,7.4,22,1,10944.0
29001,3.7,10,1,4788.0
29009,4.3,0,2,9007.0
29021,3.6,21,1,18281.0
29033,3.6,0,1,2409.0
29043,3.2,0,0,17772.0
29053,4.0,0,1,3934.0
29065,4.0,0,1,4159.0
29075,2.8,0,1,1622.0
29085,5.1,0,0,3492.0
37001,3.6,20,1,33998.0
37005,5.2,0,1,3458.0
37017,4.8,4,1,8234.0
37021,2.9,166,1,62539.0
